dataset_name,sample,factor,penalty,correct,test_size,accuracy
ACSF1,586.2379345600,0.0000455000,0.0266738260,64,100,0.6400000000
Adiac,9.7294193824,0.0027860000,0.0271061624,249,391,0.6368286445
ArrowHead,59.8053473013,0.2214905000,13.2463162764,140,175,0.8000000000
Beef,295.4021489030,0.6936125000,204.8946230060,20,30,0.6666666667
BeetleFly,910.0448735040,0.0000945000,0.0859992405,15,20,0.7500000000
BirdChicken,685.4747025260,0.0000175000,0.0119958073,15,20,0.7500000000
BME,103.5379644150,0.0005120000,0.0530114378,149,150,0.9933333333
Car,131.4548865410,0.0011655000,0.1532106703,47,60,0.7833333333
CBF,172.8487191590,0.0005120000,0.0884985442,900,900,1.0000000000
Chinatown,1805609.3884999999,0.1804045000,325740.0589280000,324,343,0.9446064140
ChlorineConcentration,60.5561743477,0.0393040000,2.3800998766,2496,3840,0.6500000000
CinCECGTorso,3260.4175387000,0.0030595000,9.9752474596,1301,1380,0.9427536232
Coffee,4.9077145969,0.1531705000,0.7517170987,28,28,1.0000000000
Computers,1371.5555665100,0.0000135000,0.0185160001,168,250,0.6720000000
CricketX,593.1293607000,0.0007290000,0.4323913040,316,390,0.8102564103
CricketY,590.2019634490,0.0005120000,0.3021834053,305,390,0.7820512821
CricketZ,591.0104598170,0.0007290000,0.4308466252,306,390,0.7846153846
Crop,4.4557491132,0.0068590000,0.0305619832,12218,16800,0.7272619048
DiatomSizeReduction,12.7042208521,0.1176490000,1.4946388790,288,306,0.9411764706
DistalPhalanxOutlineAgeGroup,8.6515379125,0.0040960000,0.0354366993,98,139,0.7050359712
DistalPhalanxOutlineCorrect,11.0605797276,0.0027440000,0.0303502308,204,276,0.7391304348
DistalPhalanxTW,8.8840243822,0.0327680000,0.2911117110,90,139,0.6474820144
Earthquakes,1019.0049125100,0.0258715000,26.3631855941,97,139,0.6978417266
ECG200,68.5377303528,0.0037355000,0.2560226917,84,100,0.8400000000
ECG5000,128.1604527960,0.0063455000,0.8132421532,4184,4500,0.9297777778
ECGFiveDays,134.3775754920,0.0231705000,3.1135956129,791,861,0.9186991870
ElectricDevices,184.7982913970,0.0007290000,0.1347179544,4838,7711,0.6274153806
EOGHorizontalSignal,52017757.0213999972,0.0002160000,11235.8355166000,174,362,0.4806629834
EOGVerticalSignal,101014739.3589999974,0.0000270000,2727.3979626900,174,362,0.4806629834
EthanolLevel,63.0958569384,0.0001250000,0.0078869821,146,500,0.2920000000
FaceAll,220.1282445990,0.0019625000,0.4320016800,1362,1690,0.8059171598
FaceFour,465.8110128810,0.0030595000,1.4251487939,78,88,0.8863636364
FacesUCR,221.3283332700,0.0024705000,0.5467916473,1945,2050,0.9487804878
FiftyWords,486.7381621330,0.0013310000,0.6478484938,367,455,0.8065934066
Fish,62.2416594548,0.0019625000,0.1221492567,160,175,0.9142857143
FordA,994.7929213140,0.0046035000,4.5795292133,947,1320,0.7174242424
FordB,994.8360565690,0.0040960000,4.0748484877,525,810,0.6481481481
FreezerRegularTrain,144.6372621760,0.0002795000,0.0404261148,2649,2850,0.9294736842
FreezerSmallTrain,138.0285626460,0.2160000000,29.8141695316,1926,2850,0.6757894737
Fungi,28837.1236446000,0.1213245000,3498.6496076200,156,186,0.8387096774
GunPoint,70.1915661280,0.0008645000,0.0606806089,145,150,0.9666666667
GunPointAgeSpan,24051599.8489000015,0.0000665000,1599.4313899600,314,316,0.9936708861
GunPointMaleVersusFemale,25616295.2063000016,0.1288255000,3300032.0381000000,314,316,0.9936708861
GunPointOldVersusYoung,24026180.6541000009,0.1213245000,2914964.3547700001,315,315,1.0000000000
Ham,149.6396264880,0.0166005000,2.4840926195,62,105,0.5904761905
HandOutlines,367.0807453230,0.0000640000,0.0234931677,327,370,0.8837837838
Haptics,517.0146133260,0.0005120000,0.2647114820,136,308,0.4415584416
Herring,47.0481441299,0.0007290000,0.0342980971,39,64,0.6093750000
HouseTwenty,2639733540.2800002098,0.0000640000,168942.9465780000,106,119,0.8907563025
InlineSkate,2086.8428786200,0.0000270000,0.0563447577,240,550,0.4363636364
InsectEPGRegularTrain,1935.0659828900,0.1213245000,234.7709128410,249,249,1.0000000000
InsectEPGSmallTrain,2009.9336506200,0.1213245000,243.8541951940,249,249,1.0000000000
InsectWingbeatSound,439.0308214170,0.0007290000,0.3200534688,1087,1980,0.5489898990
ItalyPowerDemand,11.3612711601,0.8710555000,9.8962977310,983,1029,0.9552964043
